,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0
2,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
3,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
4,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
6,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
7,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
8,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
10,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
11,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
12,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
13,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
14,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
15,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
